MAIN.PRIVATE_GAME	Jogo privado
MAIN.PUBLIC_GAME	Jogo público
MAIN.JOIN_FRIEND	Entrar com amigo
MAIN.SINGLEPLAYER	Solo
MAIN.TUTORIAL	Tutorial
MAIN.SETTINGS	Configurações
MAIN.QUIT_GAME	Sair do jogo
POPUP.PRIVATE_GAME.HEADER	Hospedar jogo
POPUP.PRIVATE_GAME.BODY	O amigo com o melhor computador\ndeve hospedar.\n\nEsse amigo é você?
POPUP.PRIVATE_GAME.OPT1	Haha, sou eu!  :)
POPUP.PRIVATE_GAME.OPT2	Eu não...  :'(
POPUP.PUBLIC_GAME.HEADER	Aviso
POPUP.PUBLIC_GAME.BODY	Ao jogar com pessoas aleatórias, você pode encontrar trapaceiros ou gente bem escrota...
POPUP.PUBLIC_GAME.OPT1	Entendi
POPUP.PUBLIC_GAME.OPT2	Não, valeu :(
POPUP.QUIT_GAME.HEADER	Sair do jogo
POPUP.QUIT_GAME.BODY	Fechar o aplicativo inteiro?
POPUP.QUIT_GAME.OPT1	Sim
POPUP.QUIT_GAME.OPT2	Não
POPUP.SELF_DESTRUCT.HEADER	Autodestruição
POPUP.SELF_DESTRUCT.BODY	É isso mesmo?
POPUP.SELF_DESTRUCT.OPT1	Acabou pra mim
POPUP.SELF_DESTRUCT.OPT2	Não
SAVES.GO_BACK	< Voltar
SAVES.NEW_GAME	Novo jogo
SAVES.SINGLEPLAYER_MODE	Modo solo
SAVES.MULTIPLAYER_MODE	Modo multiplayer
SAVES.HEADER	Jogos salvos
SAVES.PAGE_INFO.HEADER	Jogos salvos
SAVES.PAGE_INFO.DESCRIPTION	Aqui está toda a diversão que você já teve e a chance de continuar exatamente de onde parou.
SAVES.SAVE_INFO.DELETE_SAVE	Excluir save
SAVES.SAVE_INFO.LOAD_SAVE	Carregar save
SAVES.SAVE_INFO.USE_BACKUP	Usar backup
SAVES.SAVE_INFO.CURRENT_MOON	Lua atual:
POPUP.MAIN_MENU.OPT1	Sim
POPUP.MAIN_MENU.BODY	Sair para o menu principal?
POPUP.MAIN_MENU.HEADER	Menu principal
SAVES.SAVE_INFO.TOTAL_HAUL	Total arrecadado:
POPUP.LOAD_SAVE.HEADER	Carregar save
POPUP.LOAD_SAVE.BODY	Carregar este arquivo de save?
POPUP.LOAD_SAVE.OPT1	Sim!
POPUP.LOAD_SAVE.OPT2	Não
POPUP.DELETE_SAVE.HEADER	Excluir save
POPUP.DELETE_SAVE.BODY	Você tem CERTEZA ABSOLUTA de que quer excluir este save PARA SEMPRE?
POPUP.DELETE_SAVE.OPT1	Sim! :')
POPUP.DELETE_SAVE.OPT2	Não...
POPUP.USE_BACKUP.HEADER	Restaurar backup
POPUP.USE_BACKUP.BODY	Substituir este save pelo backup mais recente?\n\nIsso é irreversível!
POPUP.USE_BACKUP.OPT1	Sim!
POPUP.USE_BACKUP.OPT2	Não
REGIONS.HEADER	Regiões
REGIONS.BACK	Voltar
REGIONS.REGION.PICK_BEST_REGION	Escolher melhor região
REGIONS.REGION.ASIA	Ásia
REGIONS.REGION.AU	Austrália
REGIONS.REGION.CAE	Canadá Leste
REGIONS.REGION.CN	China Continental
REGIONS.REGION.EU	Europa
REGIONS.REGION.HK	Hong Kong
REGIONS.REGION.IN	Índia
REGIONS.REGION.JP	Japão
REGIONS.REGION.ZA	África do Sul
REGIONS.REGION.SA	América do Sul
REGIONS.REGION.KR	Coreia do Sul
REGIONS.REGION.TR	Turquia
REGIONS.REGION.UAE	Emirados Árabes Unidos
REGIONS.REGION.US	EUA Leste
REGIONS.REGION.USW	EUA Oeste
REGIONS.REGION.USSC	EUA Centro-Sul
SAVES.SAVE_INFO.SORRY	Foi mal!
SAVES.SAVE_INFO.PRESS_DELETE	Aperte "Excluir save" para excluir \na pasta inteira de saves.
SAVES.SAVE_INFO.PLAYER_LIST	{players:list:{}|,   |   e   }
SAVES.SAVE_INFO.CORRUPTED_SAVE_FILE	Arquivo de save corrompido
SAVES.SAVE_FILE.UH_OH	Ih, deu ruim!
SAVES.SAVE_FILE.CORRUPTED_SAVE_FILE	Arquivo de save corrompido
SAVES_RENAME.RENAME_SAVE	Renomear save
SAVES_RENAME.BACK	Voltar
SAVES_RENAME.CONFIRM	Confirmar
SAVES.SAVE_INFO.CLICK_TO_RENAME	(Clique para renomear)
SETTINGS.HEADER	Configurações
SETTINGS.GAMEPLAY	Jogabilidade
SETTINGS.GRAPHICS	Gráficos
SETTINGS.AUDIO	Áudio
SETTINGS.CONTROLS	Controles
SETTINGS.LANGUAGE	Idioma
SETTINGS.BACK	Voltar
SETTINGS.BOOL.ON	Ligado
SETTINGS.BOOL.OFF	Desligado
SETTINGS.BOOL.TOGGLE	Alternar
SETTINGS.BOOL.HOLD	Segurar
SETTINGS.GAMEPLAY.HEADER	Jogabilidade
SETTINGS.GAMEPLAY.RESET_TO_DEFAULT_SETTINGS	Restaurar configurações padrão
SETTINGS.GAMEPLAY.TIPS	Dicas
SETTINGS.GAMEPLAY.PLAYER_NAMES	Nomes dos jogadores
SETTINGS.GAMEPLAY.PHOTOSENSITIVITY	Fotossensibilidade
SETTINGS.GAMEPLAY.ARACHNOPHOBIA	Aracnofobia
SETTINGS.GAMEPLAY.AIM_SENSITIVITY	Sensibilidade da mira
SETTINGS.GAMEPLAY.CAMERA_SMOOTHING	Suavização da câmera
SETTINGS.GAMEPLAY.CAMERA_SHAKE	Tremor da câmera
SETTINGS.GAMEPLAY.CAMERA_NOISE	Ruído da câmera
SETTINGS.GAMEPLAY.CAMERA_ANIMATION	Animação da câmera
SETTINGS.GAMEPLAY.INVERT_VERICAL_AIM	Inverter mira vertical
SETTINGS.GAMEPLAY.ITEM_UNEQUIP_AUTO_HOLD	Segurar ao desequipar item automaticamente
SETTINGS.GAMEPLAY.RICH_PRESENCE	Presença no Steam
SETTINGS.GAMEPLAY.COSMETICS	Cosméticos
SETTINGS.GRAPHICS.RESET_TO_DEFAULT_SETTINGS	Restaurar configurações padrão
SETTINGS.GRAPHICS.WINDOW_MODE	Modo de janela
SETTINGS.GRAPHICS.VSYNC	VSync
SETTINGS.GRAPHICS.GAMMA	Gama
SETTINGS.GRAPHICS.MAX_FPS	FPS máximo
SETTINGS.GRAPHICS.LIGHT_DISTANCE	Distância da luz
SETTINGS.GRAPHICS.SHADOW_QUALITY	Qualidade das sombras
SETTINGS.GRAPHICS.SHADOW_DISTANCE	Distância das sombras
SETTINGS.GRAPHICS.MOTION_BLUR	Desfoque de movimento
SETTINGS.GRAPHICS.LENS_DISTORTION	Distorção da lente
SETTINGS.GRAPHICS.BLOOM	Bloom
SETTINGS.GRAPHICS.CHROMATIC_ABERRATION	Aberração cromática
SETTINGS.GRAPHICS.GRAIN	Granulação
SETTINGS.GRAPHICS.GLITCH_LOOP	Loop de glitch
SETTINGS.GRAPHICS.PIXELATION	Pixelização
SETTINGS.AUDIO.HEADER	Áudio
SETTINGS.AUDIO.RESET_TO_DEFAULT_SETTINGS	Restaurar configurações padrão
SETTINGS.AUDIO.MASTER_VOLUME	Volume geral
SETTINGS.AUDIO.MUSIC_VOLUME	Volume da música
SETTINGS.AUDIO.PROXIMITY_VOICE_VOLUME	Volume da voz por proximidade
SETTINGS.AUDIO.MICROPHONE	Microfone
SETTINGS.AUDIO.MICROPHONE_VOLUME	Volume do microfone
SETTINGS.AUDIO.PUSH_TO_TALK	Apertar para falar
SETTINGS.CONTROLS.HEADER	Controles
SETTINGS.CONTROLS.RESET_TO_DEFAULT_SETTINGS	Restaurar configurações padrão
SETTINGS.CONTROLS.MOVEMENT	Movimento
SETTINGS.CONTROLS.MOVE_FORWARD	Andar para frente
SETTINGS.CONTROLS.MOVE_LEFT	Andar para a esquerda
SETTINGS.CONTROLS.MOVE_BACK	Andar para trás
SETTINGS.CONTROLS.MOVE_RIGHT	Andar para a direita
SETTINGS.CONTROLS.JUMP	Pular
SETTINGS.CONTROLS.CROUCH	Agachar
SETTINGS.CONTROLS.SPRINT	Correr
SETTINGS.CONTROLS.TUMBLE	Se jogar
SETTINGS.CONTROLS.GRABBING	Agarrar
SETTINGS.CONTROLS.GRAB	Agarrar
SETTINGS.CONTROLS.ROTATE	Girar
SETTINGS.CONTROLS.PUSH	Empurrar
SETTINGS.CONTROLS.PULL	Puxar
SETTINGS.CONTROLS.OTHER	Outros
SETTINGS.CONTROLS.MAP	Mapa
SETTINGS.CONTROLS.INTERACT	Interagir
SETTINGS.CONTROLS.INVENTORY_1	Inventário 1
SETTINGS.CONTROLS.INVENTORY_2	Inventário 2
SETTINGS.CONTROLS.INVENTORY_3	Inventário 3
SETTINGS.CONTROLS.CHAT	Chat
SETTINGS.CONTROLS.CONFIRM	Confirmar
SETTINGS.CONTROLS.BACK	Voltar
SETTINGS.CONTROLS.MENU	Menu
SETTINGS.CONTROLS.SPECTATE_NEXT	Espectador: próximo
SETTINGS.CONTROLS.SPECTATE_PREVIOUS	Espectador: anterior
SETTINGS.CONTROLS.PUSH_TO_TALK	Apertar para falar
SETTINGS.CONTROLS.TOGGLE_MUTE	Alternar mudo
SETTINGS.CONTROLS.PLAYER_EXPRESSIONS	Expressões do jogador
SETTINGS.LANGUAGE.HEADER	Idioma
COSMETICS.CATEGORY.PRESETS	Predefinições
COSMETICS.CATEGORY.HEAD	Cabeça
COSMETICS.CATEGORY.ARMS	Braços
COSMETICS.CATEGORY.BODY	Corpo
COSMETICS.CATEGORY.LEGS	Pernas
COSMETICS.CONFIRM	Confirmar
COSMETICS.COLOR.HEADER	Selecionar cor
COSMETICS.COLOR.CONFIRM	Confirmar
COSMETICS.PRESET.DELETE	Excluir
COSMETICS.TYPE.HAT	Chapéu
COSMETICS.TYPE.ARM_RIGHT	Braço direito
COSMETICS.TYPE.ARM_LEFT	Braço esquerdo
COSMETICS.TYPE.LEG_RIGHT	Perna direita
COSMETICS.TYPE.LEG_LEFT	Perna esquerda
COSMETICS.TYPE.HEAD_TOP_MESH	Topo da cabeça
COSMETICS.TYPE.HEAD_BOTTOM_MESH	Parte inferior da cabeça
COSMETICS.TYPE.BODY_TOP_MESH	Parte superior do corpo
COSMETICS.TYPE.BODY_BOTTOM_MESH	Parte inferior do corpo
COSMETICS.TYPE.ARM_RIGHT_MESH	Braço direito
COSMETICS.TYPE.ARM_LEFT_MESH	Braço esquerdo
COSMETICS.TYPE.LEG_RIGHT_MESH	Perna direita
COSMETICS.TYPE.LEG_LEFT_MESH	Perna esquerda
COSMETICS.TYPE.GRABBER_MESH	Garra
COSMETICS.TYPE.EYE_LID_RIGHT_MESH	Pálpebra direita
COSMETICS.TYPE.EYE_LID_LEFT_MESH	Pálpebra esquerda
COSMETICS.TYPE.BODY_TOP_OVERLAY	Sobreposição superior do corpo
COSMETICS.TYPE.EARS	Orelhas
COSMETICS.TYPE.EYEWEAR	Óculos
COSMETICS.TYPE.BODY_TOP	Roupa superior
COSMETICS.TYPE.BODY_BOTTOM	Roupa inferior
COSMETICS.TYPE.BODY_BOTTOM_OVERLAY	Sobreposição inferior do corpo
COSMETICS.TYPE.HEAD_TOP_OVERLAY	Sobreposição superior da cabeça
COSMETICS.TYPE.HEAD_BOTTOM_OVERLAY	Sobreposição inferior da cabeça
POPUP.DELETE_PRESET.HEADER	Excluir predefinição
POPUP.DELETE_PRESET.BODY	Você tem CERTEZA ABSOLUTA de que quer excluir esta predefinição PARA SEMPRE?
POPUP.DELETE_PRESET.OPT1	Sim! :')
POPUP.DELETE_PRESET.OPT2	Não...
SETTINGS.CONTROLS.ANGRY	Bravo
SETTINGS.CONTROLS.SAD	Triste
SETTINGS.CONTROLS.SUSPICIOUS	Desconfiado
SETTINGS.CONTROLS.EYES_CLOSED	Olhos fechados
SETTINGS.CONTROLS.SCARED	Assustado
SETTINGS.CONTROLS.HAPPY	Feliz
POPUP.COSMETICS_COLOR_ALL.HEADER	Mudar cor
POPUP.COSMETICS_COLOR_ALL.BODY	Isto vai substituir as cores de todas as partes do corpo e cosméticos.\n\nIsso é irreversível!
POPUP.COSMETICS_COLOR_ALL.OPT1	Sim! :')
POPUP.COSMETICS_COLOR_ALL.OPT2	Não...
SETTINGS.AUDIO.SFX_VOLUME	Volume dos efeitos
SETTINGS.AUDIO.TEXT_TO_SPEECH_VOLUME	Volume do texto para fala
SETTINGS.CAMERA_ANIMATION.OFF	Desligado
SETTINGS.CAMERA_ANIMATION.VERY_LOW	Muito baixo
SETTINGS.CAMERA_ANIMATION.LOW	Baixo
SETTINGS.CAMERA_ANIMATION.MEDIUM	Médio
SETTINGS.CAMERA_ANIMATION.DEFAULT	Padrão
SETTINGS.RICH_PRESENCE.OFF	Desligado
SETTINGS.RICH_PRESENCE.MINIMAL	Mínima
SETTINGS.RICH_PRESENCE.FULL	Completa
SETTINGS.WINDOW_MODE.WINDOWED	Janela
SETTINGS.WINDOW_MODE.FULLSCREEN	Tela cheia
SETTINGS.MAX_FPS.UNLIMITED	Ilimitado
SETTINGS.LIGHT_DISTANCE.VERY_LOW	Muito baixa
SETTINGS.LIGHT_DISTANCE.LOW	Baixa
SETTINGS.LIGHT_DISTANCE.MEDIUM	Média
SETTINGS.LIGHT_DISTANCE.HIGH	Alta
SETTINGS.LIGHT_DISTANCE.VERY_HIGH	Muito alta
SETTINGS.SHADOW_QUALITY.VERY_LOW	Muito baixa
SETTINGS.SHADOW_QUALITY.LOW	Baixa
SETTINGS.SHADOW_QUALITY.MEDIUM	Média
SETTINGS.SHADOW_QUALITY.HIGH	Alta
SETTINGS.SHADOW_QUALITY.VERY_HIGH	Muito alta
SETTINGS.SHADOW_DISTANCE.VERY_LOW	Muito baixa
SETTINGS.SHADOW_DISTANCE.LOW	Baixa
SETTINGS.SHADOW_DISTANCE.MEDIUM	Média
SETTINGS.SHADOW_DISTANCE.HIGH	Alta
SETTINGS.SHADOW_DISTANCE.VERY_HIGH	Muito alta
SETTINGS.RENDER_SIZE.SMALL	Pequeno
SETTINGS.RENDER_SIZE.MEDIUM	Médio
SETTINGS.RENDER_SIZE.DEFAULT	Padrão
SETTINGS.MIC_DEVICE.NONE	Nenhum
POPUP.RESET_GAMEPLAY_SETTINGS.HEADER	Redefinir jogabilidade
POPUP.RESET_GAMEPLAY_SETTINGS.BODY	Restaurar configurações de jogabilidade para o padrão?
POPUP.RESET_GAMEPLAY_SETTINGS.OPT1	Sim!
POPUP.RESET_GAMEPLAY_SETTINGS.OPT2	Não
SETTINGS.GRAPHICS.HEADER	Gráficos
POPUP.RESET_GRAPHICS_SETTINGS.HEADER	Redefinir gráficos
POPUP.RESET_GRAPHICS_SETTINGS.BODY	Restaurar configurações gráficas para o padrão?
POPUP.RESET_GRAPHICS_SETTINGS.OPT1	Sim!
POPUP.RESET_GRAPHICS_SETTINGS.OPT2	Não
POPUP.RESET_AUDIO_SETTINGS.HEADER	Redefinir áudio
POPUP.RESET_AUDIO_SETTINGS.BODY	Restaurar configurações de áudio para o padrão?
POPUP.RESET_AUDIO_SETTINGS.OPT1	Sim!
POPUP.RESET_AUDIO_SETTINGS.OPT2	Não
POPUP.RESET_CONTROLS_SETTINGS.HEADER	Redefinir controles
POPUP.RESET_CONTROLS_SETTINGS.BODY	Restaurar controles para o padrão?
POPUP.RESET_CONTROLS_SETTINGS.OPT1	Sim!
POPUP.RESET_CONTROLS_SETTINGS.OPT2	Não
COSMETICS.TYPE.FOOT_RIGHT	Pé direito
COSMETICS.TYPE.FOOT_LEFT	Pé esquerdo
COSMETICS.TYPE.ARM_RIGHT_OVERLAY	Sobreposição do braço direito
COSMETICS.TYPE.ARM_LEFT_OVERLAY	Sobreposição do braço esquerdo
COSMETICS.TYPE.LEG_RIGHT_OVERLAY	Sobreposição da perna direita
COSMETICS.TYPE.LEG_LEFT_OVERLAY	Sobreposição da perna esquerda
PASSWORD.HEADER	Senha
PASSWORD.SKIP	Pular
LOADING.LOADING	Carregando
LOADING.STUCK_PROMPT_TOP_TEXT	Travou no carregamento?
LOADING.STUCK_PROMPT_BOTTOM_TEXT	Aperte [menu] para sair ao menu principal
LOBBY.HEADER	Saguão
LOBBY.CHAT_PROMPT	Aperte [chat] para conversar
LOBBY.START_GAME	Iniciar jogo
LOBBY.INVITE	Convidar
LOBBY.SETTINGS	Configurações
LOBBY.CUSTOMIZE	Personalizar
LOBBY.LEAVE	Sair
POPUP.START_GAME.HEADER	Iniciar jogo
POPUP.START_GAME.BODY	Todo mundo pronto?\n\nDepois que o jogo começar,\nnovos jogadores não poderão entrar.
POPUP.START_GAME.OPT1	Sim!
POPUP.START_GAME.OPT2	Ainda não!
POPUP.LEAVE_LOBBY.HEADER	Sair do saguão
POPUP.LEAVE_LOBBY.BODY	Tem certeza?
POPUP.LEAVE_LOBBY.OPT1	Sim
POPUP.LEAVE_LOBBY.OPT2	Não
POPUP.NEW_GAME.HEADER	Novo jogo
POPUP.NEW_GAME.BODY	Quer começar um jogo?
POPUP.NEW_GAME.OPT1	Sim!
POPUP.NEW_GAME.OPT2	Não
PASSWORD.CONFIRM	Confirmar
LOBBY.PLAYER_JOINING	Jogador entrando...
COSMETICS.TYPE.HEAD_BOTTOM	Parte inferior do rosto
POPUP.COSMETICS_RESET_ALL.HEADER	Limpar
POPUP.COSMETICS_RESET_ALL.BODY	Tem certeza de que quer remover todas as partes do corpo e cosméticos?\n\nIsso é irreversível!
POPUP.COSMETICS_RESET_ALL.OPT1	Sim! :')
POPUP.COSMETICS_RESET_ALL.OPT2	Não...
POPUP.COSMETICS_RESET_BODY.HEADER	Limpar
POPUP.COSMETICS_RESET_BODY.BODY	Tem certeza de que quer remover todas as partes do corpo?\n\nIsso é irreversível!
POPUP.COSMETICS_RESET_BODY.OPT1	Sim! :')
POPUP.COSMETICS_RESET_BODY.OPT2	Não...
POPUP.COSMETICS_RESET_COSMETICS.HEADER	Limpar
POPUP.COSMETICS_RESET_COSMETICS.BODY	Tem certeza de que quer remover todos os cosméticos?\n\nIsso é irreversível!
POPUP.COSMETICS_RESET_COSMETICS.OPT1	Sim! :')
POPUP.COSMETICS_RESET_COSMETICS.OPT2	Não...
POPUP.COSMETICS_RANDOMIZE_ALL.HEADER	Aleatorizar
POPUP.COSMETICS_RANDOMIZE_ALL.BODY	Tem certeza de que quer aleatorizar todas as partes do corpo e cosméticos?\n\nIsso é irreversível!
POPUP.COSMETICS_RANDOMIZE_ALL.OPT1	Sim! :')
POPUP.COSMETICS_RANDOMIZE_ALL.OPT2	Não...
POPUP.COSMETICS_RANDOMIZE_BODY.HEADER	Aleatorizar
POPUP.COSMETICS_RANDOMIZE_BODY.BODY	Tem certeza de que quer aleatorizar todas as partes do corpo?\n\nIsso é irreversível!
POPUP.COSMETICS_RANDOMIZE_BODY.OPT1	Sim! :')
POPUP.COSMETICS_RANDOMIZE_BODY.OPT2	Não...
POPUP.COSMETICS_RANDOMIZE_COSMETICS.HEADER	Aleatorizar
POPUP.COSMETICS_RANDOMIZE_COSMETICS.BODY	Tem certeza de que quer aleatorizar todos os cosméticos?\n\nIsso é irreversível!
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT1	Sim! :')
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT2	Não...
POPUP.COSMETICS_COLOR_BODY.HEADER	Mudar cor
POPUP.COSMETICS_COLOR_BODY.BODY	Isto vai substituir as cores de todas as partes do corpo.\n\nIsso é irreversível!
POPUP.COSMETICS_COLOR_BODY.OPT1	Sim! :')
POPUP.COSMETICS_COLOR_BODY.OPT2	Não...
POPUP.COSMETICS_COLOR_COSMETICS.HEADER	Mudar cor
POPUP.COSMETICS_COLOR_COSMETICS.BODY	Isto vai substituir as cores de todos os cosméticos.\n\nIsso é irreversível!
POPUP.COSMETICS_COLOR_COSMETICS.OPT1	Sim! :')
POPUP.COSMETICS_COLOR_COSMETICS.OPT2	Não...
COSMETICS.TYPE.FACE_TOP	Parte superior do rosto
COSMETICS.TYPE.FACE_BOTTOM	Meio do rosto
MAIN.CUSTOMIZE	Personalizar
ESC.HEADER	Menu
ESC.CONTINUE	Continuar
ESC.CUSTOMIZE	Personalizar
ESC.SETTINGS	Configurações
ESC.SELF_DESTRUCT	Autodestruir
ESC.ACTIVE_MOONS	Luas ativas
ESC.MAIN_MENU	Menu principal
ESC.QUIT_GAME	Sair do jogo
POPUP.MAIN_MENU.OPT2	Não
MOONS.HEADER	Luas ativas
MOONS.BACK	Voltar
MOONS.MOON_1.NAME	Lua Crescente
MOONS.MOON_1.ATTRIBUTE_1	A cura do caminhão agora restaura 35 de vida.
MOONS.MOON_1.ATTRIBUTE_2	Monstros agora são mais difíceis de derrubar com objetos valiosos.
MOONS.MOON_2.NAME	Meia-Lua
MOONS.MOON_2.ATTRIBUTE_1	Monstros agora sobrecarregam sua garra.
MOONS.MOON_2.ATTRIBUTE_2	Monstros sofrem dano pesado de buracos, mas podem sobreviver.
MOONS.MOON_2.ATTRIBUTE_3	A cura do caminhão agora restaura 25 de vida.
MOONS.MOON_3.NAME	Lua Cheia
MOONS.MOON_3.ATTRIBUTE_1	Monstros agora sobrecarregam sua garra com um aumento total de 25%
MOONS.MOON_3.ATTRIBUTE_2	Monstros agora sofrem menos dano de buracos.
MOONS.MOON_4.NAME	Superlua
MOONS.MOON_4.ATTRIBUTE_1	Orbes inimigos agora explodem quando destruídos.
MOONS.MOON_4.ATTRIBUTE_2	Monstros agora sobrecarregam sua garra com um aumento total de 50%
MOONS.MOON_4.ATTRIBUTE_3	Monstros agora sofrem ainda menos dano de buracos.
LOBBY.PING	{ping} ms
REGIONS.PING	{ping} ms
SPLASH.PHOTOSENSITIVITY_WARNING.HEADER	Aviso de fotossensibilidade
SPLASH.PHOTOSENSITIVITY_WARNING.SUBHEADER	Este jogo contém luzes piscantes.
SPLASH.PHOTOSENSITIVITY_WARNING.TEXT	Algumas pessoas podem ter crises epilépticas quando expostas a padrões de luz e luzes piscantes. Se sentir qualquer desconforto ao jogar, pare imediatamente e consulte um médico.
LEVEL.NAME.SHOP	Posto de Serviço
LEVEL.NAME.ARENA	Arena de Descarte
LEVEL.NAME.ARCTIC	Estação McJannek
LEVEL.NAME.MANOR	Mansão do Cabeçudo
LEVEL.NAME.MUSEUM	Museu de Arte Humana
LEVEL.NAME.WIZARD	Academia Vassoura Veloz
LOADING.LEVEL.SHOP	Loja
LOADING.LEVEL.LEVEL_NUMBER	Fase {number}
LOADING.LEVEL.GAME_OVER	Fim de jogo
SAVES.SAVE_INFO.PLAYER_SOLO	Você fez tudo sozinho!
POPUP.SAVE_LIMIT.HEADER	Limite de saves atingido
POPUP.SAVE_LIMIT.BODY	Você só pode ter {limit} arquivos de save por vez. Exclua alguns saves para abrir espaço para novos.
POPUP.SAVE_LIMIT.BUTTON	OK
POPUP.KICKED.HEADER	Expulso
POPUP.KICKED.BODY	Você foi expulso pelo host.
POPUP.KICKED.BUTTON	Tá bom...
POPUP.DISCONNECTED.HEADER	Desconectado
POPUP.DISCONNECTED.STUCK_LOADING	Travado no carregamento
POPUP.DISCONNECTED.HOST_DISCONNECTED	Host desconectado
POPUP.DISCONNECTED.BUTTON	Tá bom...
POPUP.VERSION_MISMATCH.HEADER	Versão do jogo incorreta
POPUP.VERSION_MISMATCH.BODY	O lobby está usando a versão:\n{version}
POPUP.VERSION_MISMATCH.BUTTON	Tá bom...
POPUP.LOBBY_CLOSED.HEADER	Lobby fechado
POPUP.LOBBY_CLOSED.BODY	O lobby foi fechado.
POPUP.LOBBY_CLOSED.BUTTON	Tá bom...
POPUP.DISCONNECTED.CAUSE_PREFIX	Causa:
POPUP.DISCONNECTED.BANNED_LOBBY	Você foi banido deste lobby.
PUBLIC_GAME_CHOICE.HEADER	Jogo público
PUBLIC_GAME_CHOICE.RANDOM_MATCHMAKING	Partida aleatória
PUBLIC_GAME_CHOICE.SERVER_LIST	Lista de servidores
PUBLIC_GAME_CHOICE.BACK	Voltar
SERVER_LIST.HEADER	Lista de servidores
SERVER_LIST.SEARCH	Buscar
SERVER_LIST.CREATE_NEW	Criar novo
SERVER_LIST.BACK	Voltar
SERVER_LIST_SEARCH.HEADER	Buscar
SERVER_LIST_SEARCH.CONFIRM	Confirmar
SERVER_LIST_SEARCH.BACK	Voltar
SERVER_LIST_CREATE_NEW.HEADER	Criar novo servidor
SERVER_LIST_CREATE_NEW.CONFIRM	Confirmar
SERVER_LIST_CREATE_NEW.BACK	Voltar
SETTINGS.GAMEPLAY.INVERT_VERTICAL_AIM	Inverter mira vertical
