BIG_MESSAGE.EXTRACTION.ACTIVATED	Ponto de extração ativado
BIG_MESSAGE.EXTRACTION.COMPLETED	Ponto de extração concluído
FOCUS.EXTRACTION.FILL_VALUABLES	Encha o ponto de extração com objetos valiosos
FOCUS.EXTRACTION.AVOID_GRENADES	Evite as granadas!
FOCUS.EXTRACTION.FIND_NEXT	Encontre o próximo ponto de extração
FOCUS.EXTRACTION.BACK_TO_TRUCK	Volte para o caminhão!
TUTORIAL.TRANSITION_TEXT	Mandou bem!
TUTORIAL.MOVEMENT.TEXT	Use [move] para se mover.
TUTORIAL.MOVEMENT.FOCUS_TEXT	Mova-se para encher a barra de progresso!
TUTORIAL.MOVEMENT.DUMMY_TEXT	Use [move] no teclado até a barra de progresso ficar cheia!
TUTORIAL.JUMPING.TEXT	Aperte [jump] para pular.
TUTORIAL.JUMPING.FOCUS_TEXT	Pule para encher a barra de progresso!
TUTORIAL.JUMPING.DUMMY_TEXT	Aperte [jump] para pular até a barra de progresso ficar cheia!
TUTORIAL.SNEAKING.TEXT	Aperte [crouch] para andar furtivo. Monstros terão mais dificuldade para ver você.
TUTORIAL.SNEAKING.FOCUS_TEXT	Ande furtivo para encher a barra de progresso!
TUTORIAL.SNEAKING.DUMMY_TEXT	Segure [crouch] e use [move] até a barra de progresso ficar cheia!
TUTORIAL.HIDING.TEXT	Use [crouch] para passar por baixo das coisas e se esconder.
TUTORIAL.HIDING.FOCUS_TEXT	Esconda-se para encher a barra de progresso!
TUTORIAL.HIDING.DUMMY_TEXT	Segure [crouch], entre andando debaixo de um objeto e fique lá até encher a barra de progresso!
TUTORIAL.SPRINTING.TEXT	Segure [sprint] para correr. Isso gasta sua energia.
TUTORIAL.SPRINTING.FOCUS_TEXT	Corra para encher a barra de progresso!
TUTORIAL.SPRINTING.DUMMY_TEXT	Segure [sprint] e use [move] para correr até encher a barra de progresso! Se a energia acabar, espere regenerar!
TUTORIAL.TUMBLING.TEXT	Corra e aperte [tumble] para se jogar com estilo. Pular também ajuda!
TUTORIAL.TUMBLING.FOCUS_TEXT	Corra, pule e caia para encher a barra de progresso!
TUTORIAL.TUMBLING.DUMMY_TEXT	Corra com [sprint], pule com [jump] e aperte [tumble] para se lançar. Faça isso até encher a barra de progresso!
TUTORIAL.GRABBING.TEXT	Pegue objetos usando [grab].
TUTORIAL.GRABBING.FOCUS_TEXT	Carregue esse troço para encher a barra de progresso!
TUTORIAL.GRABBING.DUMMY_TEXT	Aperte e segure [grab] em um objeto até encher a barra de progresso!
TUTORIAL.PUSHING_AND_PULLING.TEXT	Use [push] para mudar a distância dos objetos que você está segurando.
TUTORIAL.PUSHING_AND_PULLING.FOCUS_TEXT	Mude a distância de um item segurado!
TUTORIAL.PUSHING_AND_PULLING.DUMMY_TEXT	Aperte e segure [grab] em um objeto e use [push] para mudar a distância do item que você pegou!
TUTORIAL.ROTATING.TEXT	Gire objetos segurados usando [grab2].
TUTORIAL.ROTATING.FOCUS_TEXT	Gire coisas para encher a barra de progresso!
TUTORIAL.ROTATING.DUMMY_TEXT	Enquanto segura um objeto com [grab], segure [grab2] e mova a mira para girá-lo. Continue até encher a barra de progresso!
TUTORIAL.ITEM_TOGGLING.TEXT	Pegue e aperte [interact] para ligar/desligar itens.
TUTORIAL.ITEM_TOGGLING.FOCUS_TEXT	Ligue e desligue esse negócio!
TUTORIAL.ITEM_TOGGLING.DUMMY_TEXT	Pegue a bola com [grab] e ligue/desligue usando [interact] até encher a barra de progresso!
TUTORIAL.INVENTORY_FILL.TEXT	Pegue um item e use [inventory1]/[inventory2]/[inventory3] para colocá-lo no inventário.
TUTORIAL.INVENTORY_FILL.FOCUS_TEXT	Encha seu inventário inteiro!
TUTORIAL.INVENTORY_FILL.DUMMY_TEXT	Enquanto segura um item com [grab], aperte [inventory1]/[inventory2]/[inventory3]. Preencha todos os espaços do inventário para completar a barra!
TUTORIAL.INVENTORY_EMPTY.TEXT	Use [inventory1]/[inventory2]/[inventory3] para tirar itens do inventário.
TUTORIAL.INVENTORY_EMPTY.FOCUS_TEXT	Esvazie seu inventário inteiro!
TUTORIAL.INVENTORY_EMPTY.DUMMY_TEXT	Use [inventory1]/[inventory2]/[inventory3] e esvazie todos os espaços para encher a barra de progresso!
TUTORIAL.MAP.TEXT	Use [map] para ver o mapa. O mapa é <b><u>IMPORTANTE</u></b> para se orientar.
TUTORIAL.MAP.FOCUS_TEXT	Confira o mapa!
TUTORIAL.MAP.DUMMY_TEXT	Segure [map] e olhe o mapa até encher a barra de progresso!
TUTORIAL.CART_HANDLING_1.TEXT	Isto é um C.A.R.T. Pegue pela alça.
TUTORIAL.CART_HANDLING_1.FOCUS_TEXT	Ande um pouco com o C.A.R.T.!
TUTORIAL.CART_HANDLING_1.DUMMY_TEXT	Pegue o C.A.R.T. pela alça com [grab] e ande com ele até encher a barra de progresso!
TUTORIAL.CART_HANDLING_2.TEXT	Encha C.A.R.T.s com objetos valiosos. C.A.R.T.s são <b><u>IMPORTANTES</u></b> para carregar mais coisas.
TUTORIAL.CART_HANDLING_2.FOCUS_TEXT	Encha o C.A.R.T. com objetos valiosos!
TUTORIAL.CART_HANDLING_2.DUMMY_TEXT	Coloque três itens dentro do C.A.R.T.
TUTORIAL.EXTRACTION_POINTS.TEXT	Ative e encha <b><u>PONTOS DE EXTRAÇÃO</u></b> com objetos valiosos.
TUTORIAL.EXTRACTION_POINTS.FOCUS_TEXT	Extraia os objetos valiosos!
TUTORIAL.EXTRACTION_POINTS.DUMMY_TEXT	ALÔ! ENCHA O <b><u>PONTO DE EXTRAÇÃO</u></b> COM OBJETOS VALIOSOS!
TUTORIAL.TRUCK.TEXT	Entre no <b><u>CAMINHÃO</u></b> e envie uma mensagem ao seu chefe para sair da fase.
TUTORIAL.TRUCK.FOCUS_TEXT	Entre no caminhão e mande uma mensagem!
TUTORIAL.TRUCK.DUMMY_TEXT	Entre no caminhão, pegue e segure a área de mensagem na tela do caminhão com [grab] para enviar uma mensagem!
TUTORIAL.HEALING.TEXT	Compartilhe sua vida com outros jogadores agarrando o pescoço deles!
TUTORIAL.REVIVING.TEXT	Reviva outros jogadores extraindo a cabeça deles!
TUTORIAL.CHARGING_STATION.TEXT	Compre <b><u>CRISTAIS DE ENERGIA</u></b> para a <b><u>ESTAÇÃO DE CARGA</u></b> recarregar e consertar seu equipamento!
TUTORIAL.ONLY_ONE_EXTRACTION.TEXT	Só um <b><u>PONTO DE EXTRAÇÃO</u></b> pode ficar ativo por vez. Encontre o atual usando o mapa!
TUTORIAL.CHAT.TEXT	Aperte [chat] para abrir o chat! É divertido!
TUTORIAL.FINAL_EXTRACTION.TEXT	Hora de ir embora. O caminhão cura você e revive cabeças de jogadores carregadas!
TUTORIAL.MULTIPLE_EXTRACTIONS.TEXT	Esta fase tem vários <b><u>PONTOS DE EXTRAÇÃO</u></b>. Você precisa limpar todos para sair!
TUTORIAL.SHOP.TEXT	Isto é a <b><u>LOJA</u></b>. Extraia itens para comprar. Nada de ruim dura aqui!
TUTORIAL.EXPRESSIONS.TEXT	Use [expression1]/[expression2]/[expression3]/[expression4]/[expression5]/[expression6] para fazer expressões. Dá até para misturar!
TUTORIAL.OVERCHARGE_1.TEXT	Agarrar um monstro agora causa sobrecarga. Quando encher, você será lançado para longe.
TUTORIAL.OVERCHARGE_2.TEXT	Mais pessoas segurando reduzem o efeito da sobrecarga.
TUTORIAL.HEAD_SPECTATE_1.TEXT	Enquanto morto, sua cabeça carrega energia. Use essa carga para possuir sua cabeça por alguns instantes.
TUTORIAL.HEAD_SPECTATE_2.TEXT	Enquanto possui sua cabeça, segure [jump] para pular. Segure mais para pular mais alto, gastando mais carga.
TUTORIAL.ENEMY_ELSA.TEXT	FAÇA CARINHO NO CACHORRO!
MOON_UI.SKIP	[menu] para pular
TUTORIAL.EXTRACTION_REMINDER.TEXT	Encha <b><u>PONTOS DE EXTRAÇÃO</u></b> com objetos valiosos.
TUTORIAL.COSMETIC_WORLD_OBJECT_1.TEXT	Isto é uma <b><u>CAIXA DE COSMÉTICO</u></b>. Extraia para receber uma recompensa.
TUTORIAL.COSMETIC_WORLD_OBJECT_2.TEXT	Se ela for danificada, você pode <b><u>CURÁ-LA</u></b> usando sua própria vida.
TUTORIAL.COSMETIC_SHOP_MACHINE.TEXT	Insira <b><u>FICHAS FISCAIS</u></b> na máquina da loja para resgatar suas recompensas.
FOCUS.PREFIX	FOCO
FOCUS.SHOP.INTRO	Compre coisas na loja
FOCUS.TRUCK.INTRO	Aproveite a viagem, recarregue suas coisas e PREPARE-SE!
COSMETIC_SHOP_MACHINE.INFO_TEXT	Aperte [interact] para inserir uma ficha fiscal
ITEM.CART_CANNON	Canhão de C.A.R.T.
ITEM.CART_LASER	Laser de C.A.R.T.
ITEM.CART_MEDIUM	C.A.R.T.
ITEM.CART_SMALL	C.A.R.T. DE BOLSO
ITEM.DRONE_BATTERY	Drone Recarregador
ITEM.DRONE_FEATHER	Drone Pena
ITEM.DRONE_INDESTRUCTIBLE	Drone Indestrutível
ITEM.DRONE_TORQUE	Drone de Rolagem
ITEM.DRONE_ZERO_GRAVITY	Drone de Gravidade Zero
ITEM.DUCK_BUCKET	Balde de Patos
ITEM.EXTRACTION_TRACKER	Rastreador de Extração
ITEM.GRENADE_DUCT_TAPED	Granadas com Fita
ITEM.GRENADE_EXPLOSIVE	Granada
ITEM.GRENADE_HUMAN	Granada Humana
ITEM.GRENADE_SHOCKWAVE	Granada de Onda de Choque
ITEM.GRENADE_STUN	Granada Atordoante
ITEM.GUN_HANDGUN	Arma
ITEM.GUN_LASER	Disparador de Fótons
ITEM.GUN_SHOCKWAVE	Pistola de Pulso
ITEM.GUN_SHOTGUN	Escopeta
ITEM.GUN_STUN	Boltzap
ITEM.GUN_TRANQ	Arma Tranquilizante
ITEM.HEALTH_PACK_LARGE	Kit Médico Grande (100)
ITEM.HEALTH_PACK_MEDIUM	Kit Médico Médio (50)
ITEM.HEALTH_PACK_SMALL	Kit Médico Pequeno (25)
ITEM.LEAF_BLOWER	Soprador de Folhas
ITEM.MELEE_BASEBALL_BAT	Taco de Beisebol
ITEM.MELEE_FRYING_PAN	Frigideira
ITEM.MELEE_INFLATABLE_HAMMER	Martelo Inflável
ITEM.MELEE_SLEDGE_HAMMER	Marreta
ITEM.MELEE_STUN_BATON	Prodzap
ITEM.MELEE_SWORD	Espada
ITEM.MINE_EXPLOSIVE	Mina Explosiva
ITEM.MINE_SHOCKWAVE	Mina de Onda de Choque
ITEM.MINE_STUN	Trapzap
ITEM.ORB_ZERO_GRAVITY	Orbe de Gravidade Zero
ITEM.PHASE_BRIDGE	Ponte de Fase
ITEM.POWER_CRYSTAL	Cristal de Energia
ITEM.REVIVE_ITEM	Defibro
ITEM.RUBBER_DUCK	Pato de Borracha
ITEM.STAFF_TORQUE	Cajado de Rolagem
ITEM.STAFF_VOID	Cajado do Vazio
ITEM.STAFF_ZERO_GRAVITY	Cajado de Gravidade Zero
ITEM.UPGRADE_DEATH_HEAD_BATTERY	Melhoria de Bateria da Cabeça
ITEM.UPGRADE_MAP_PLAYER_COUNT	Melhoria de Contagem de Jogadores no Mapa
ITEM.UPGRADE_PLAYER_CROUCH_REST	Melhoria de Recuperação Agachado
ITEM.UPGRADE_PLAYER_ENERGY	Melhoria de Energia
ITEM.UPGRADE_PLAYER_EXTRA_JUMP	Melhoria de Pulo Extra
ITEM.UPGRADE_PLAYER_GRAB_RANGE	Melhoria de Alcance
ITEM.UPGRADE_PLAYER_GRAB_STRENGTH	Melhoria de Força
ITEM.UPGRADE_PLAYER_HEALTH	Melhoria de Vida
ITEM.UPGRADE_PLAYER_SPRINT_SPEED	Melhoria de Velocidade de Corrida
ITEM.UPGRADE_PLAYER_TUMBLE_CLIMB	Melhoria de Escalada no Tombo
ITEM.UPGRADE_PLAYER_TUMBLE_LAUNCH	Melhoria de Impulso no Tombo
ITEM.UPGRADE_PLAYER_TUMBLE_WINGS	Melhoria de Asas no Tombo
ITEM.VALUABLE_TRACKER	Rastreador de Valiosos
ITEM.VEHICLE_SEMISCOOTER	Carregador
ITEM.VEHICLE_SEMISCOOTER_SMALL	Batedor
ITEM.WALKIE_TALKIE	Walkie Semibot
ITEM.WALKIE_TALKIE_BOX	Walkies Semibot
STATS.UPGRADES.HEADER	Melhorias
LEVEL.HEADER	Fase
STATS.UPGRADE.CROUCH_REST	Recuperação Agachado
STATS.UPGRADE.DEATH_HEAD_BATTERY	Bateria da Cabeça
STATS.UPGRADE.EXTRA_JUMP	Pulo Extra
STATS.UPGRADE.HEALTH	Vida
STATS.UPGRADE.LAUNCH	Impulso no Tombo
STATS.UPGRADE.MAP_PLAYER_COUNT	Jogadores no Mapa
STATS.UPGRADE.RANGE	Alcance
STATS.UPGRADE.SPEED	Velocidade de Corrida
STATS.UPGRADE.STAMINA	Energia
STATS.UPGRADE.STRENGTH	Força
STATS.UPGRADE.TUMBLE_CLIMB	Escalada no Tombo
STATS.UPGRADE.TUMBLE_WINGS	Asas no Tombo
ENEMY.ANIMAL	Animal
ENEMY.BANG	Estourado
ENEMY.BEAMER	Palhaço
ENEMY.BIRTHDAY_BOY	Aniversariante
ENEMY.BOMB_THROWER	Equipe de Limpeza
ENEMY.BOWTIE	Gravata-Borboleta
ENEMY.CEILING_EYE	Olheiro
ENEMY.DUCK	Predador Alfa
ENEMY.ELSA	Elsa
ENEMY.FLOATER	Mentalista
ENEMY.GNOME	Gnomo
ENEMY.HEAD	Cabeçudo
ENEMY.HEAD_GRABBER	Agarrador de Cabeça
ENEMY.HEART_HUGGER	Abraçador
ENEMY.HIDDEN	Escondido
ENEMY.HUNTER	Caçador
ENEMY.OOGLY	Oogly
ENEMY.ROBE	Manto
ENEMY.RUNNER	Ceifador
ENEMY.SHADOW	Sombra
ENEMY.SLOW_MOUTH	Cuspidor
ENEMY.SLOW_WALKER	Arrastado
ENEMY.SPINNY	Gambit
ENEMY.THIN_MAN	Criança Sombra
ENEMY.TICK	Carrapato
ENEMY.TRICYCLE	Bella
ENEMY.TUMBLER	Chef
ENEMY.UPSCREAM	Gritador
ENEMY.VALUABLE_THROWER	Pirralho
UPGRADE_STAND.INTERACT	Segure para sortear de novo ({cost})
ARENA.WINNER.KING	Rei dos Perdedores!
ARENA.WINNER.LOSERS	Todo mundo perdeu!
ARENA.MESSAGE.LAST_LOSER_STANDING	Último perdedor de pé
ARENA.MESSAGE.GAME_OVER	Fim de jogo
SPECTATE_LIST.HEADER	Os quebrados:
ITEM.CART.MODE_STRONG	Modo: Forte
ITEM.CART.MODE_WEAK	Modo: Fraco
